Username,Display Name,Followers,Engagement Rate (%),Verified,Location,Bio
bali_foodie_explorer,Made Santika,85000,4.50,No,"Denpasar, Bali",🌴 Authentic Balinese food experiences | 📍 Denpasar local | 🍛 Traditional recipes & modern twists 
denpasar_lifestyle,Ni Luh Kadek,62000,3.80,No,"Denpasar, Bali",✨ Bali lifestyle blogger | 🏝️ Local tips & hidden gems | 📸 Capturing the real Bali | Collaboration
bali_artisan_official,I Wayan Dharma,45000,5.50,Yes,"Denpasar, Bali",🎨 Traditional Balinese art & crafts | 🏛️ Cultural heritage preservation | 📍 Denpasar workshops | 
denpasar_adventures,Putu Adventure Guide,78000,4.20,No,"Denpasar, Bali","🏄‍♂️ Bali adventure guide | 🌊 Surf, trek, explore | 📍 Denpasar based | Book your next adventure!"
bali_wellness_coach,Ketut Yoga Instructor,93000,4.80,No,"Denpasar, Bali","🧘‍♀️ Certified yoga instructor | 🌿 Holistic wellness | 📍 Denpasar & Ubud classes | Mind, body, sp"
denpasar_fashion_hub,Luh Fashion Designer,56000,4.10,No,"Denpasar, Bali",👗 Sustainable fashion designer | 🌺 Balinese-inspired collections | 📍 Denpasar atelier | Eco-consc
bali_tech_entrepreneur,Made Digital Nomad,71000,3.50,No,"Denpasar, Bali",💻 Tech entrepreneur in paradise | 🏝️ Digital nomad lifestyle | 📍 Denpasar coworking spaces | Star
denpasar_street_food,Wayan Warung Owner,38000,5.20,No,"Denpasar, Bali",🍜 Authentic street food | 🏪 Family warung since 1985 | 📍 Denpasar central market | Traditional fl
bali_cultural_guide,Kadek Cultural Expert,67000,4.60,Yes,"Denpasar, Bali",🏛️ Licensed cultural guide | 📚 Balinese history & traditions | 📍 Denpasar temples & museums | Edu
denpasar_photographer,Nyoman Photo Studio,89000,4.30,No,"Denpasar, Bali",📸 Professional photographer | 🌅 Bali landscapes & portraits | 📍 Denpasar studio | Capturing your 
